propertyType,bedrooms,bathrooms,squareFeet,lot_size,oceanProximity,yearBuilt,price,has_garage,has_pool
Villa,2,3,2051,12521,NEAR BAY,1905,2586895,False,False
House,2,1,2975,2855,INLAND,1951,1705832,True,False
Apartment,5,3,1342,6436,INLAND,2000,412767,True,False
Townhouse,5,1,2586,2021,NEAR BAY,1944,1523575,True,False
House,4,1,3929,9317,NEAR OCEAN,1900,2863404,True,False
Townhouse,3,2,3172,4004,NEAR OCEAN,1979,1537917,True,False
Apartment,3,2,3506,8712,<1H OCEAN,1950,2170509,True,False
Apartment,4,3,1929,8813,INLAND,1910,1848138,False,False
House,2,2,2260,14144,<1H OCEAN,1921,1132416,False,False
Apartment,3,1,2932,14078,NEAR OCEAN,1933,2314006,True,False
Villa,3,3,1825,2969,NEAR OCEAN,1900,1153805,True,True
Apartment,2,2,2260,5778,<1H OCEAN,1976,2695287,False,False
Townhouse,1,1,3298,9334,<1H OCEAN,1948,1418001,False,False
Townhouse,1,2,2264,10536,INLAND,2009,2925406,False,False
Townhouse,4,2,2045,11921,<1H OCEAN,1948,2581174,True,False
Townhouse,5,2,3841,7580,<1H OCEAN,2021,1782101,True,True
Villa,3,2,1848,10077,INLAND,1941,2507873,True,False
Condo,3,1,1858,5331,NEAR OCEAN,1991,861466,True,False
House,4,2,3516,6295,INLAND,1948,407637,True,False
Townhouse,4,3,1771,8148,NEAR OCEAN,1912,1931823,True,False
Apartment,3,3,3190,8443,NEAR OCEAN,2001,893764,False,False
Townhouse,2,2,1787,13799,<1H OCEAN,1993,2324996,True,False
Apartment,2,3,2189,5307,NEAR BAY,2021,2676631,False,False
Apartment,5,2,2159,7866,<1H OCEAN,1999,2045990,False,True
Townhouse,3,1,3799,2539,NEAR BAY,1967,1867668,True,False
Villa,3,1,3304,7271,NEAR BAY,1913,1429123,False,False
Apartment,3,3,1698,12485,<1H OCEAN,1935,2228640,False,False
Apartment,3,3,2613,9172,<1H OCEAN,1955,2221693,True,False
Townhouse,4,2,2302,12252,<1H OCEAN,1986,1264433,True,False
Apartment,1,2,3245,13830,NEAR BAY,1968,1244233,True,False
Apartment,3,2,3746,3488,NEAR OCEAN,1945,2814406,True,False
Townhouse,1,1,2629,2285,NEAR BAY,1914,1138105,True,False
Townhouse,2,2,1142,7733,INLAND,1986,2565098,True,False
House,5,1,3660,8482,<1H OCEAN,1907,1604448,False,True
Villa,2,3,2048,3237,NEAR BAY,2021,829724,True,False
Villa,3,1,3787,2112,NEAR BAY,1955,498904,True,False
Apartment,2,3,2894,6433,NEAR OCEAN,1910,1230692,True,False
Villa,4,1,2008,10281,<1H OCEAN,1970,2641781,False,False
Apartment,1,1,1714,8926,INLAND,1922,2994352,False,False
House,3,2,3009,12998,NEAR OCEAN,1944,1136785,False,False
Townhouse,4,3,2466,11691,NEAR BAY,2009,1865766,True,False
Townhouse,1,1,1094,3053,NEAR BAY,2004,1669637,True,False
Townhouse,4,1,2939,3563,INLAND,1926,652646,False,True
Villa,2,3,2410,10548,NEAR BAY,1930,2205611,True,False
House,3,1,2779,5726,NEAR BAY,1946,879557,False,True
Villa,2,3,2081,8689,<1H OCEAN,2016,1166198,False,False
Villa,5,3,3597,6554,NEAR OCEAN,2003,2151759,True,False
House,3,3,1356,10662,INLAND,1965,1579477,True,False
House,2,1,2822,4914,<1H OCEAN,2007,2874030,True,False
House,3,1,1108,4986,<1H OCEAN,2011,1147624,True,False
House,1,2,2472,4620,NEAR OCEAN,1994,2191628,True,False
Townhouse,3,3,1952,13454,<1H OCEAN,1960,1422132,True,False
Condo,3,1,3416,9169,NEAR BAY,1907,1482715,True,False
Condo,1,1,1984,11333,INLAND,1964,2424429,False,False
House,2,3,3023,6403,<1H OCEAN,1924,2877735,True,False
Condo,3,3,2594,6659,INLAND,1916,2431822,True,False
Condo,4,3,1772,3038,INLAND,1929,206231,True,False
House,3,2,1737,8567,INLAND,1923,1224215,True,False
Condo,2,2,3866,14059,NEAR BAY,1994,2757817,True,True
Villa,1,2,2091,13742,INLAND,2014,1053939,True,False
Apartment,2,3,1017,14897,NEAR OCEAN,1951,676634,False,False
Apartment,5,1,3660,2054,INLAND,1962,135653,True,False
House,3,3,963,10113,NEAR BAY,1960,2389313,False,False
Townhouse,3,1,2514,11493,NEAR BAY,2022,2637531,False,False
House,1,2,2240,14700,NEAR OCEAN,1976,1876790,True,False
Townhouse,3,2,2895,9412,NEAR OCEAN,1957,2323868,False,False
Apartment,4,2,2017,14103,NEAR BAY,2018,2457734,False,True
House,4,1,1600,9125,NEAR BAY,1978,1325440,True,False
Villa,2,1,3565,5467,NEAR OCEAN,1989,1038620,True,True
Condo,1,3,2931,3494,NEAR BAY,1931,726260,True,False
Townhouse,5,3,3460,6133,<1H OCEAN,2008,2360648,True,False
Condo,2,3,2490,5703,INLAND,1934,2651545,True,False
Condo,1,2,3918,6865,NEAR BAY,1915,2287848,False,False
House,1,3,1033,2182,NEAR BAY,1908,2572315,True,False
Condo,2,2,2676,3236,NEAR BAY,1918,2868428,False,False
Villa,2,1,1761,14413,<1H OCEAN,1939,1752796,True,False
Condo,3,2,3695,14427,INLAND,1939,1853504,True,True
House,5,2,2994,10812,NEAR OCEAN,1945,2628947,True,False
Villa,4,2,3043,11736,<1H OCEAN,2014,2891790,True,False
Apartment,3,1,1705,6127,<1H OCEAN,2008,1189791,True,False
Condo,1,1,1813,2234,NEAR OCEAN,1902,2584846,True,True
House,5,3,1845,2072,NEAR OCEAN,1925,2502322,False,False
Apartment,5,3,2795,14759,NEAR BAY,2000,2705002,False,True
Apartment,2,3,1185,7767,NEAR OCEAN,1971,1523111,False,False
Townhouse,5,1,2824,3789,<1H OCEAN,1969,107877,False,False
Villa,5,1,1163,10819,NEAR BAY,1904,1214757,False,False
Condo,1,1,3121,10859,NEAR OCEAN,1984,223591,False,False
House,3,1,2207,6023,<1H OCEAN,1926,205559,False,False
Townhouse,5,1,1007,10785,INLAND,1943,732379,True,False
Villa,2,2,1074,12858,NEAR OCEAN,1937,1299990,True,False
Townhouse,3,3,3854,14004,<1H OCEAN,1971,800818,False,False
Villa,2,2,2552,12531,NEAR BAY,1985,2765651,True,False
Villa,5,3,1295,13551,NEAR OCEAN,1986,1513587,True,True
Condo,3,2,1701,4260,NEAR OCEAN,1988,2574661,False,False
Villa,5,1,3006,6262,NEAR BAY,1970,2654238,False,False
Townhouse,1,3,3787,9388,NEAR BAY,1977,2798116,True,False
Villa,3,2,2549,8545,<1H OCEAN,1940,1028189,False,False
Condo,2,3,1259,8934,NEAR BAY,1957,2321170,False,False
Condo,1,1,1193,9456,<1H OCEAN,1928,2326260,False,True
Townhouse,4,1,1716,11160,<1H OCEAN,1980,507746,False,False
Apartment,2,3,3790,12219,NEAR BAY,1950,710362,True,False
Apartment,5,3,3286,10370,NEAR OCEAN,1969,1772948,True,False
Villa,2,1,963,8314,NEAR BAY,1995,2916859,True,False
House,4,1,1438,8117,NEAR BAY,1962,2911112,True,False
Villa,2,1,1369,4051,INLAND,1918,1393458,False,False
Townhouse,1,2,2994,6431,INLAND,1926,1893871,False,False
Townhouse,2,3,3830,10386,NEAR BAY,1993,322781,True,False
Townhouse,3,1,1759,13727,NEAR OCEAN,2013,314977,False,False
Townhouse,4,3,1567,4940,NEAR OCEAN,1952,1385895,True,False
Townhouse,2,2,2957,13009,<1H OCEAN,1996,1677773,False,False
Condo,4,2,1193,5628,NEAR BAY,2000,260101,False,False
Apartment,1,1,2005,9634,NEAR BAY,1944,2979575,False,False
Townhouse,3,3,2396,7463,INLAND,1910,1057393,False,False
House,5,2,1242,11423,INLAND,2019,1218742,True,False
House,2,3,1546,5698,INLAND,2004,608987,True,False
House,1,3,3601,3959,<1H OCEAN,1909,936139,True,False
House,4,1,2977,3526,NEAR BAY,1992,158437,False,False
Condo,4,2,2666,12369,INLAND,1985,233014,True,False
House,1,2,2599,9839,NEAR BAY,1919,2307603,True,False
Townhouse,2,2,1304,13264,<1H OCEAN,1918,2777281,False,True
Villa,5,3,1519,8929,NEAR OCEAN,1987,439503,True,True
House,2,2,2787,5519,<1H OCEAN,1991,588256,False,False
Condo,3,2,2477,3695,NEAR BAY,1901,2932229,False,False
Condo,2,3,2869,7896,NEAR BAY,1939,1635688,False,False
House,3,2,3888,9990,NEAR BAY,2018,2957369,False,False
Villa,4,2,1674,8466,NEAR OCEAN,1917,133673,True,False
House,3,3,3678,14311,NEAR BAY,1981,394161,True,False
Condo,5,2,1433,2376,INLAND,1901,1586833,True,False
Apartment,1,1,1081,2778,NEAR OCEAN,1946,758619,True,False
Townhouse,3,3,2243,7275,NEAR OCEAN,1948,2871272,True,False
Condo,2,2,3220,5343,NEAR OCEAN,2018,2774732,False,False
House,3,1,2124,7992,<1H OCEAN,2019,1390905,False,False
Townhouse,4,3,1808,5595,<1H OCEAN,1922,1494723,True,False
House,3,2,3133,4499,<1H OCEAN,1946,1529134,False,False
House,5,3,1939,2586,NEAR OCEAN,2015,1957943,False,False
Apartment,3,1,1203,9489,NEAR OCEAN,2022,712263,False,True
Townhouse,5,3,2937,11246,NEAR BAY,1978,270625,False,False
Townhouse,2,2,3990,4999,NEAR OCEAN,1988,435235,False,False
Apartment,4,1,1495,8744,INLAND,1944,1259518,False,False
Condo,1,3,1707,10801,<1H OCEAN,1981,1391795,False,True
House,2,2,3964,12368,NEAR BAY,1920,143686,True,False
Villa,2,2,3476,12692,INLAND,1946,1430988,False,False
House,1,1,3849,10998,INLAND,1931,1957689,False,False
House,3,1,3294,4483,INLAND,2013,928859,False,True
Condo,3,3,3159,7795,NEAR OCEAN,1918,150916,False,False
House,3,2,2726,9909,<1H OCEAN,1917,146197,True,False
Apartment,4,1,920,4699,INLAND,1923,250302,False,True
Apartment,2,2,3164,9484,NEAR BAY,1946,1695774,False,False
Townhouse,5,3,2985,11543,<1H OCEAN,2005,322916,False,False
Villa,1,1,2566,2108,<1H OCEAN,1929,2440230,True,False
House,2,3,3665,10717,NEAR OCEAN,1992,1426077,False,True
House,3,3,2477,3498,INLAND,2017,2719716,True,False
Condo,1,1,1190,8097,NEAR BAY,1984,1569699,True,False
Apartment,5,3,3876,11141,NEAR OCEAN,1920,812410,False,False
Villa,2,2,3616,3667,<1H OCEAN,1947,2275524,False,False
Townhouse,2,1,3214,5184,INLAND,2004,685845,True,True
Apartment,4,2,1640,9453,<1H OCEAN,1965,673953,False,False
Townhouse,2,3,3339,6947,<1H OCEAN,1944,2144592,False,False
Condo,2,1,3605,10797,NEAR OCEAN,1900,1139314,True,False
Condo,5,2,2289,12586,NEAR BAY,1921,920454,False,True
House,5,2,3369,11816,INLAND,1955,406960,False,False
Villa,1,2,2065,6917,NEAR OCEAN,1939,645808,False,False
Townhouse,3,2,2265,9428,NEAR BAY,1937,2219151,False,False
Apartment,5,2,2656,8861,NEAR OCEAN,1918,2741831,True,False
Condo,1,3,3035,6402,NEAR BAY,1918,2281426,False,False
House,2,3,1203,3057,<1H OCEAN,1965,1333265,False,False
House,1,3,2649,8312,INLAND,1992,2870391,True,False
Townhouse,1,3,3274,3368,INLAND,2013,2808940,False,False
Condo,1,3,1212,10102,INLAND,2013,1497625,False,False
Villa,1,3,2337,7738,NEAR OCEAN,1986,2069709,True,True
Condo,5,3,953,11863,NEAR OCEAN,1946,1737233,True,False
Townhouse,3,2,3050,6633,NEAR BAY,1957,1417502,True,False
Townhouse,1,3,1016,5738,NEAR OCEAN,1956,2467702,True,False
Condo,4,2,3329,11119,<1H OCEAN,2021,2326121,False,False
Townhouse,2,1,1824,5625,NEAR BAY,1947,2826757,True,False
Condo,2,3,3613,7200,NEAR OCEAN,1990,2135248,True,True
Apartment,2,2,3350,4736,INLAND,1944,2851002,False,False
Condo,2,1,1598,10896,<1H OCEAN,1986,2513834,True,False
Condo,2,1,1605,10474,INLAND,1991,540274,False,False
Townhouse,1,2,1742,14021,NEAR BAY,2019,2866459,False,False
Townhouse,3,2,3616,5683,NEAR BAY,1927,1105036,True,True
House,4,2,3609,2970,NEAR OCEAN,1959,620363,False,True
House,5,3,2071,14264,NEAR BAY,1904,925195,False,True
Apartment,4,1,2935,2488,NEAR BAY,1917,515740,True,True
House,5,3,1233,13298,INLAND,1993,605208,False,False
Condo,5,3,3267,9461,NEAR BAY,1987,2834735,True,False
Townhouse,4,3,1228,13045,<1H OCEAN,1936,669659,True,False
House,1,1,1987,12281,NEAR OCEAN,1979,240896,True,True
House,2,1,2318,10361,NEAR BAY,1992,271029,True,False
Apartment,1,1,961,14208,<1H OCEAN,1993,2842477,False,True
Apartment,2,2,3354,9150,NEAR OCEAN,1924,1972972,False,False
Condo,3,3,3112,11784,<1H OCEAN,1937,1078133,True,False
Townhouse,5,2,2795,10757,<1H OCEAN,2002,1150149,True,False
Apartment,4,2,2957,11609,NEAR BAY,1900,953568,False,False
House,3,3,2675,9355,INLAND,1939,672082,False,False
Townhouse,2,1,1699,13559,NEAR OCEAN,2002,1616373,True,False
Townhouse,1,3,2542,10576,NEAR BAY,1954,552990,False,False
House,4,2,2142,12837,NEAR BAY,2002,2907958,False,True
Apartment,5,1,1955,5135,NEAR OCEAN,1994,1820078,False,True
House,3,1,1193,6176,NEAR OCEAN,1938,2658286,True,False
Townhouse,5,2,3467,8923,NEAR BAY,1994,1561147,False,False
Villa,2,1,3531,5256,<1H OCEAN,2022,2586594,True,False
Villa,5,1,3399,9512,INLAND,1996,1450057,False,True
Condo,1,3,3651,10429,INLAND,1975,1857590,False,False
House,3,3,3906,9463,NEAR OCEAN,1924,987131,False,False
House,3,2,2528,13632,NEAR OCEAN,2018,1449866,True,False
Condo,1,2,1521,8442,<1H OCEAN,1922,395562,False,False
Condo,5,2,2195,6832,<1H OCEAN,1942,285099,False,False
Condo,1,1,2840,12124,NEAR BAY,1947,253876,True,True
Townhouse,4,2,2878,13353,<1H OCEAN,1991,2924593,True,False
House,1,3,1997,4576,INLAND,1996,1524013,True,False
Townhouse,5,1,3664,14375,<1H OCEAN,1937,2937140,True,False
Condo,1,2,2533,4071,<1H OCEAN,1989,584761,True,False
House,2,1,2953,10523,<1H OCEAN,1923,2063480,True,False
Townhouse,1,1,1919,5129,NEAR OCEAN,1904,364679,False,True
Townhouse,1,1,1816,12703,<1H OCEAN,2007,263736,True,False
Condo,5,2,1853,13241,NEAR OCEAN,1959,2824926,True,False
House,4,1,3641,6284,INLAND,1916,1268497,False,True
Condo,4,1,960,5535,INLAND,2008,633366,True,True
House,5,1,2129,8365,NEAR OCEAN,1936,895795,False,False
Villa,5,3,2446,2352,NEAR OCEAN,1914,171998,False,True
Apartment,5,2,3043,5122,<1H OCEAN,1965,2176353,True,False
Apartment,2,3,3455,7207,<1H OCEAN,1997,2513160,False,False
Apartment,3,1,3185,4031,INLAND,1919,738462,True,False
Condo,1,1,1961,11051,INLAND,1929,460690,False,False
Villa,5,3,3637,4926,INLAND,1915,789035,True,False
House,5,1,3294,14454,INLAND,1943,2017471,True,False
Townhouse,5,3,2133,7825,NEAR BAY,1958,2049999,True,True
House,4,1,2002,6044,<1H OCEAN,1903,1964670,True,False
Townhouse,5,1,1136,14388,<1H OCEAN,1930,1680285,False,False
House,1,1,2979,9881,NEAR BAY,1925,910359,True,False
Villa,5,1,3096,9591,INLAND,2018,2894682,False,False
Townhouse,1,2,3346,6620,<1H OCEAN,1940,2513843,True,False
Condo,2,2,862,3170,<1H OCEAN,2022,1679812,False,False
House,3,2,1618,14775,NEAR OCEAN,1975,1526983,True,False
House,4,3,2215,7640,NEAR BAY,1901,2562652,False,False
Townhouse,1,3,3104,12320,NEAR OCEAN,1907,2571693,True,False
Condo,2,3,2071,12819,NEAR BAY,1977,2585411,False,False
Condo,3,3,2087,6917,NEAR BAY,1923,1148779,False,False
Villa,3,2,3314,7245,NEAR BAY,2006,2784961,True,False
Condo,3,3,1648,13825,INLAND,1939,1085605,False,False
Condo,1,3,1160,11797,NEAR BAY,2004,264397,True,False
Condo,2,3,2835,9306,INLAND,1924,136470,True,True
Apartment,5,1,2774,13125,NEAR BAY,1961,2435074,True,False
Villa,2,3,3727,7801,INLAND,1957,185074,True,False
House,2,1,3026,8745,INLAND,1970,245380,False,False
Townhouse,2,3,2735,10263,INLAND,1931,2280246,True,False
House,1,3,1748,4292,<1H OCEAN,2016,2238719,True,False
Villa,1,1,2329,6674,NEAR OCEAN,1986,1153867,False,False
Townhouse,1,3,2650,11425,NEAR OCEAN,1945,2729642,True,False
Villa,2,1,2636,2193,NEAR OCEAN,2002,681948,False,False
Condo,1,3,3346,14825,<1H OCEAN,1925,1692887,False,False
Townhouse,3,3,3524,14619,<1H OCEAN,1941,2545374,False,False
Condo,1,1,1091,13774,<1H OCEAN,1906,1115014,True,False
House,4,2,1387,14580,NEAR BAY,1955,689597,True,False
House,1,1,1617,10921,NEAR BAY,1946,2119337,False,False
Townhouse,1,2,2946,10227,NEAR BAY,1949,325778,True,False
Townhouse,1,1,980,7197,NEAR BAY,1944,2986615,True,False
Villa,1,2,3800,9188,NEAR BAY,1967,1817760,True,False
Villa,4,3,1173,10436,NEAR OCEAN,1943,965839,False,False
Condo,5,2,2659,5466,NEAR OCEAN,1924,2577955,False,False
Townhouse,1,3,1423,13959,NEAR OCEAN,1951,2457110,True,False
House,3,1,3100,7212,NEAR OCEAN,1917,2277179,True,False
Villa,4,2,2718,10120,NEAR OCEAN,1906,1601355,False,True
Villa,5,3,1662,7945,<1H OCEAN,1921,2152332,True,True
House,1,1,2969,7495,<1H OCEAN,1903,775650,True,False
Villa,5,2,1241,8319,NEAR BAY,1928,2324697,True,False
Condo,3,3,3092,14477,NEAR OCEAN,1987,2002352,True,True
Townhouse,4,2,2462,3781,NEAR BAY,2017,403524,False,False
House,4,2,1670,13046,<1H OCEAN,1939,1289803,True,False
Townhouse,5,3,3674,11407,NEAR BAY,1951,2165430,False,False
Villa,1,3,3917,2615,NEAR OCEAN,2013,545652,True,False
Villa,2,1,3299,6163,NEAR OCEAN,1959,676670,False,False
House,4,3,3143,7274,NEAR OCEAN,2001,2161899,True,False
Condo,2,3,2571,10645,<1H OCEAN,1940,1830780,False,False
Apartment,4,2,2456,13496,NEAR BAY,1975,331657,False,True
House,1,3,2696,3531,INLAND,1972,1735212,False,True
Apartment,1,2,1889,6561,INLAND,1914,1091705,True,False
Apartment,4,2,1282,8571,INLAND,2022,1300608,False,False
Condo,5,3,1108,3775,INLAND,1976,1672219,False,False
Apartment,1,3,2283,9136,INLAND,1956,2227635,True,False
Apartment,1,3,1392,12681,<1H OCEAN,1993,1684814,False,False
Condo,3,3,1818,11341,NEAR OCEAN,1998,1860051,False,False
Apartment,1,1,1197,5706,INLAND,1934,890846,False,False
Apartment,3,2,1268,7155,INLAND,1989,1539388,False,False
Apartment,1,1,1416,9405,INLAND,1918,2314325,True,False
House,1,1,3239,14420,NEAR BAY,1920,597216,False,False
House,5,2,896,7346,NEAR OCEAN,1984,1311655,False,False
House,5,1,3788,14683,INLAND,1912,2259368,False,False
Condo,1,3,3707,12329,<1H OCEAN,1920,1750710,False,False
Villa,4,3,994,2082,NEAR OCEAN,1987,1450395,True,False
Apartment,4,3,3805,11715,NEAR OCEAN,1925,2380353,True,False
Apartment,1,3,2157,8794,NEAR OCEAN,2007,2601878,False,False
Condo,4,2,882,13572,NEAR BAY,1955,671349,False,True
Apartment,1,3,1050,12771,NEAR OCEAN,1930,244621,False,False
House,5,2,1893,6936,INLAND,1929,1018205,False,False
Villa,2,2,2115,3107,INLAND,1923,1681782,True,False
Townhouse,3,2,3187,4074,NEAR BAY,1995,954592,False,True
Apartment,4,2,2208,9737,<1H OCEAN,1929,1741072,True,False
House,4,1,3547,6474,NEAR BAY,2020,1146166,True,True
Townhouse,5,1,2281,12116,NEAR BAY,1925,2673177,False,False
Villa,4,3,1898,14504,INLAND,2001,1589265,False,False
Townhouse,1,2,899,10572,NEAR OCEAN,1981,289191,False,False
House,1,3,1998,2636,NEAR BAY,2004,1955263,False,False
Townhouse,2,3,1532,2799,<1H OCEAN,1953,1264839,False,True
Condo,2,3,1122,13975,INLAND,2012,1617249,True,False
Townhouse,2,3,2857,6012,NEAR OCEAN,1975,1079375,True,False
Apartment,1,2,3860,12747,<1H OCEAN,1920,1962924,False,False
Apartment,2,2,3917,2282,NEAR BAY,1922,2985754,True,False
Condo,2,1,2339,6309,<1H OCEAN,1927,1827514,False,False
House,1,2,2061,11371,NEAR BAY,1980,1690957,True,False
Apartment,5,2,1605,4046,NEAR BAY,1978,1386146,True,True
Villa,4,3,1707,8673,NEAR BAY,1922,2734580,True,False
Apartment,3,2,3902,2854,NEAR BAY,1958,1205212,False,False
Apartment,1,3,2333,2616,NEAR BAY,1952,948967,False,False
House,1,2,2841,5230,INLAND,1952,1611360,False,False
Townhouse,3,1,929,4088,NEAR BAY,1933,861241,False,False
Apartment,3,3,3896,5873,NEAR OCEAN,1991,2788284,False,False
Condo,2,2,2383,9672,NEAR BAY,1967,2305767,True,True
Townhouse,3,2,1363,6614,INLAND,2004,1598290,True,False
Villa,4,3,2153,11220,<1H OCEAN,1911,2927463,True,False
House,4,1,948,3044,NEAR OCEAN,1901,246665,False,False
Villa,4,1,2232,2645,<1H OCEAN,1924,1113237,False,False
Townhouse,4,2,2434,2940,<1H OCEAN,1987,2857755,False,False
Townhouse,4,2,3426,14529,NEAR OCEAN,1994,2407285,False,False
Townhouse,2,2,3867,2342,INLAND,1967,1679842,False,False
Villa,1,3,2583,3666,NEAR BAY,1943,2177940,True,True
Townhouse,3,3,2966,4464,NEAR BAY,1933,551637,True,False
Villa,1,3,2257,2037,NEAR BAY,1905,2590047,False,False
Townhouse,3,2,3075,6431,<1H OCEAN,1994,2697989,True,True
Condo,2,1,1414,12352,NEAR OCEAN,1938,1900765,True,False
Townhouse,2,3,2624,2250,NEAR BAY,1949,2531586,True,False
Villa,5,1,1039,7007,NEAR BAY,1923,2939335,False,False
Apartment,5,2,1712,13608,INLAND,1988,644924,False,False
Townhouse,2,3,3813,14137,INLAND,1904,2532007,False,True
Apartment,2,3,2113,9238,<1H OCEAN,1953,183834,True,False
Condo,3,3,1977,2263,NEAR OCEAN,1953,628800,False,False
House,2,2,958,14868,INLAND,1909,2138079,False,False
Condo,1,2,1362,8527,NEAR OCEAN,1981,2542494,True,False
Townhouse,3,2,1275,7886,INLAND,1992,969532,True,False
Apartment,2,1,1347,11606,NEAR OCEAN,1974,2896652,True,False
Apartment,3,1,1836,7105,NEAR OCEAN,2012,2359031,True,False
Villa,3,3,3700,3621,NEAR OCEAN,1993,405857,True,True
Apartment,4,3,3065,3753,<1H OCEAN,2006,2281124,True,False
Villa,5,2,1554,10753,INLAND,1968,2894932,False,False
House,3,2,1534,5582,INLAND,1905,1051851,True,False
Townhouse,3,2,3838,3157,NEAR BAY,1977,817958,False,False
Villa,4,3,3628,7508,NEAR BAY,1915,2030206,True,False
House,2,2,1021,11957,<1H OCEAN,1959,900733,True,False
Apartment,3,1,3135,6156,INLAND,1913,2758885,True,False
Apartment,4,1,2724,5835,NEAR BAY,1932,1470702,True,True
House,1,3,1323,7861,INLAND,2019,1613882,True,False
Apartment,4,3,2310,13733,NEAR BAY,2000,2561282,False,False
House,5,1,3546,13321,<1H OCEAN,1968,2009301,False,True
Villa,5,2,1480,13448,NEAR BAY,1939,2809885,True,False
Villa,2,3,2628,5103,<1H OCEAN,1977,1368502,False,False
House,2,3,3171,6752,<1H OCEAN,1939,2110297,True,False
Villa,5,3,1417,14456,NEAR OCEAN,1908,2749744,False,True
Villa,5,1,1660,3045,<1H OCEAN,1990,2080020,True,True
Villa,3,3,2888,10015,NEAR OCEAN,2015,1453302,False,False
Condo,5,1,2584,4857,INLAND,1966,592845,True,False
Townhouse,2,1,2090,3102,<1H OCEAN,1973,2760966,False,False
Apartment,5,2,1192,9303,<1H OCEAN,1947,1494140,False,False
Condo,2,2,1936,8445,<1H OCEAN,1974,767238,True,False
Villa,1,2,2107,12927,NEAR BAY,1997,685132,False,False
House,5,3,2613,8002,<1H OCEAN,1964,423949,False,False
Villa,2,1,3050,10578,INLAND,1909,2798301,False,False
Townhouse,4,3,3700,3612,NEAR OCEAN,2016,2325521,True,False
Villa,3,1,3621,3565,INLAND,1905,244012,True,False
House,2,3,3629,5355,NEAR OCEAN,1971,1115051,True,False
Townhouse,5,1,834,12568,INLAND,1961,2722977,True,False
Villa,5,2,2900,4507,NEAR BAY,1930,2039497,False,False
Townhouse,1,2,3350,4200,INLAND,1905,555861,False,False
Apartment,4,3,2179,6004,INLAND,1994,152234,False,False
Apartment,2,1,949,12964,<1H OCEAN,1933,2523023,False,False
Villa,4,2,1236,7810,NEAR BAY,2003,1456144,True,True
Townhouse,1,1,1249,10998,NEAR BAY,2016,2983796,False,False
House,3,3,3372,5783,<1H OCEAN,1992,1355532,False,False
Villa,4,2,1066,13221,NEAR OCEAN,1966,2870980,False,True
Apartment,1,3,2432,2640,INLAND,1961,2244035,False,False
Apartment,2,3,2933,7925,<1H OCEAN,1985,1659512,False,False
Villa,3,1,1108,6086,NEAR BAY,1911,2754186,False,False
Townhouse,5,3,1064,13187,INLAND,1937,1154384,False,False
Apartment,1,3,1291,12430,INLAND,1982,828322,True,False
